STT,Lat1,Lon1,Land_Cost,Unit
420,10.7911693,106.7110553,72000000,Quận Bình Thạnh
421,10.789077,106.7083991,140000000,Quận Bình Thạnh
422,10.8050533,106.6995542,160000000,Quận Bình Thạnh
423,10.8161202,106.7201342,134000000,Quận Bình Thạnh
424,10.809516,106.6915269,157000000,Quận Bình Thạnh
425,10.8180835,106.6912357,77000000,Quận Gò Vấp
426,10.8118747,106.68464,84000000,Quận Gò Vấp
427,10.816657,106.6878768,56000000,Quận Gò Vấp
428,10.838523,106.6368009,84000000,Quận Gò Vấp
429,10.849183,106.674749,88000000,Quận Gò Vấp
430,10.8464541,106.6767299,110600000,Quận Gò Vấp
431,10.8439192,106.6736402,88000000,Quận Gò Vấp
432,10.854439,106.6492362,84000000,Quận Gò Vấp
433,10.8513437,106.6533469,84000000,Quận Gò Vấp
434,10.8528894,106.6468316,84000000,Quận Gò Vấp
435,10.843712,106.6357355,84000000,Quận Gò Vấp
436,10.8150098,106.6827308,117600000,Quận Gò Vấp
437,10.815869,106.6762719,74900000,Quận Gò Vấp
438,10.8347959,106.6670768,101500000,Quận Gò Vấp
439,10.8502494,106.6827868,64800000,Quận Gò Vấp
440,10.8252421,106.690703,126000000,Quận Gò Vấp
441,10.8343553,106.6697019,101500000,Quận Gò Vấp
442,10.8247536,106.6787186,74900000,Quận Gò Vấp
443,10.8183384,106.6917231,77000000,Quận Gò Vấp
444,10.7988798,106.6570904,168300000,Quận Tân Bình
445,10.8001036,106.6670077,243100000,Quận Tân Bình
446,10.8084579,106.6702581,161600000,Quận Tân Bình
447,10.8000779,106.6651242,243100000,Quận Tân Bình
448,10.7882253,106.6497163,138600000,Quận Tân Bình
449,10.7887708,106.6494348,138600000,Quận Tân Bình
450,10.7961587,106.6415864,149600000,Quận Tân Bình
451,10.786918,106.641914,153000000,Quận Tân Bình
452,10.8258193,106.6307968,105300000,Quận Tân Bình
453,10.8258263,106.6307754,105300000,Quận Tân Bình
454,10.8208539,106.6351198,86400000,Quận Tân Bình
455,10.8355874,106.6452257,80000000,Quận Gò Vấp
456,10.8052313,106.6473735,104200000,Quận Tân Bình
457,10.8063577,106.6475536,140400000,Quận Tân Bình
458,10.8009497,106.6535375,169200000,Quận Tân Bình
459,10.7991857,106.6518676,124100000,Quận Tân Bình
460,10.8008466,106.6508216,169200000,Quận Tân Bình
461,10.7865838,106.6441638,112200000,Quận Tân Bình
462,10.7937537,106.6632691,215600000,Quận Tân Bình
463,10.8149336,106.6677421,158000000,Quận Tân Bình
464,10.8237687,106.633877,59400000,Quận Tân Bình
465,10.775901,106.6344451,105000000,Quận Tân Phú
466,10.8052573,106.6660372,161600000,Quận Tân Bình
467,10.7842777,106.6397279,128000000,Quận Tân Phú
468,10.7816541,106.63765,128000000,Quận Tân Phú
469,10.7776556,106.6369251,105000000,Quận Tân Phú
470,10.7744693,106.6357741,105000000,Quận Tân Phú
471,10.7728236,106.6327312,160000000,Quận Tân Phú
472,10.7755445,106.6337604,105000000,Quận Tân Phú
473,10.7802891,106.6384172,100000000,Quận Tân Phú
474,10.8041568,106.6200492,90000000,Quận Tân Phú
475,10.7610003,106.6302233,90000000,Quận Tân Phú
476,10.7661772,106.633091,160000000,Quận Tân Phú
477,10.7663167,106.6281701,88000000,Quận Tân Phú
478,10.7684326,106.6341199,135000000,Quận Tân Phú
479,10.7668322,106.6351044,80000000,Quận Tân Phú
480,10.7701999,106.6385711,112000000,Quận Tân Phú
481,10.7750096,106.6400909,105000000,Quận Tân Phú
482,10.7747841,106.6353248,105000000,Quận Tân Phú
483,10.7785858,106.6351344,160000000,Quận Tân Phú
484,10.7807163,106.631479,160000000,Quận Tân Phú
485,10.7722709,106.6261544,108000000,Quận Tân Phú
486,10.7894205,106.6393604,120000000,Quận Tân Phú
487,10.7889356,106.6400542,120000000,Quận Tân Phú
488,10.8014917,106.6262555,104000000,Quận Tân Phú
489,10.7963841,106.6368951,120000000,Quận Tân Phú
490,10.7703012,106.6258607,100000000,Quận Tân Phú
491,10.78951,106.6185849,130000000,Quận Tân Phú
492,10.7883539,106.6245215,142000000,Quận Tân Phú
493,10.7860911,106.6365296,160000000,Quận Tân Phú
494,10.8061464,106.6106977,95000000,Quận Tân Phú
495,10.8024308,106.6268623,104000000,Quận Tân Phú
496,10.7611075,106.6291045,90000000,Quận Tân Phú
497,10.7093077,106.6435334,65000000,Huyện Bình Chánh
498,10.7999737,106.6128979,90000000,Quận Tân Phú
499,10.77323,106.6143484,61600000,Quận Bình Tân
500,10.7255999,106.6179562,107100000,Quận Bình Tân
501,10.8084625,106.6047656,63100000,Quận Bình Tân
502,10.8214407,106.6084314,63100000,Quận Bình Tân
503,10.7249375,106.6193125,107100000,Quận Bình Tân
504,10.7181953,106.606553,107100000,Quận Bình Tân
505,10.7309077,106.6111893,129800000,Quận Bình Tân
506,10.7374039,106.6142755,129800000,Quận Bình Tân
507,10.7131441,106.6112178,73200000,Quận Bình Tân
508,10.7250032,106.6118421,63600000,Quận Bình Tân
509,10.7335453,106.7015581,71000000,Quận 7
510,10.7538311,106.5851057,48000000,Quận Bình Tân
511,10.7252131,106.5951436,67700000,Quận Bình Tân
512,10.7534375,106.5918594,63100000,Quận Bình Tân
513,10.7517933,106.61916,35000000,Quận Bình Tân
514,10.7618663,106.5920277,63100000,Quận Bình Tân
515,10.7397637,106.6052656,63600000,Quận Bình Tân
516,10.7526329,106.6075533,63600000,Quận Bình Tân
517,10.7664422,106.6040795,78800000,Quận Bình Tân
518,10.8066313,106.6642128,199800000,Quận Tân Bình
519,10.7650898,106.6013632,83800000,Quận Bình Tân
520,10.805597,106.5931562,63600000,Quận Bình Tân
521,10.7785978,106.6206456,95200000,Quận Bình Tân
