Unit,Name,,Type,Value,x coordinate,y coordinate,Existing demand
Quận Bình Thạnh,"Vinhomes Central Park, trong khu Villas",11,11 Kw AC,5,10.7955236,106.7192025,11
Quận Bình Thạnh,Vinhomes Central Park 6,11,11 Kw AC,3,10.7931785,106.721702,6.6
Quận Bình Thạnh,Vinhomes Central Park 5,11,11 Kw AC,3,10.7939051,106.7177428,6.6
Quận Bình Thạnh,Bãi đỗ xe GSM Central Park - Tầng Hầm Khu Công viên,80,80 kW DC,20,10.7921907,106.7190411,320
Quận Bình Thạnh,Bãi đỗ xe GSM Central Park - Tầng Hầm Khu Công viên,11,11 Kw AC,20,10.7921907,106.7190411,44
Quận Bình Thạnh,Bãi đỗ xe GSM Central Park - Tầng Hầm Khu Công viên,60,60 kW DC,40,10.7921907,106.7190411,480
Quận Bình Thạnh,Vinhomes Central Park 4,11,11 Kw AC,3,10.7952169,106.7221218,6.6
Quận Bình Thạnh,Vinhomes Central Park 3,11,11 Kw AC,3,10.7930927,106.720196,6.6
Quận Bình Thạnh,Vinhomes Central Park 1- Tân Cảng,11,11 Kw AC,3,10.7945757,106.7225821,6.6
Quận Bình Thạnh,Vinhomes Central Park 1,11,11 Kw AC,3,10.7975741,106.719898,6.6
Quận Bình Tân,Bãi đỗ xe tư nhân Anh Nguyện,60,60 kW DC,6,10.8103135,106.5889267,72
Quận Bình Tân,Bãi đỗ xe Thuận Phát IV,11,11 Kw AC,3,10.8159767,106.5972767,6.6
Quận Bình Tân,Bãi đỗ xe Thuận Phát IV,60,60 kW DC,2,10.8159767,106.5972767,24
